DepartmentId,DepartmentName,OrgId,OrgName
9950,25TH BATALION SAF BHOPAL,14888,25BN(ACCOUNT)SAF
9711,7TH BATALION SAF BHOPAL,9727,7BN(A COMPANY)SAF BHOPAL
9711,7TH BATALION SAF BHOPAL,9728,7BN(B COMPANY)SAF BHOPAL
9711,7TH BATALION SAF BHOPAL,9729,7BN(C COMPANY)SAF BHOPAL
9711,7TH BATALION SAF BHOPAL,9740,7BN(Central Police Canteen)SAF
9711,7TH BATALION SAF BHOPAL,9730,7BN(D COMPANY)SAF BHOPAL
9711,7TH BATALION SAF BHOPAL,9747,7BN(DGP RESERVE)SAF BHOPAL
9711,7TH BATALION SAF BHOPAL,9731,7BN(E COMPANY)SAF BHOPAL
9711,7TH BATALION SAF BHOPAL,9722,7BN(Establishment)SAF BHOPAL
9711,7TH BATALION SAF BHOPAL,9732,7BN(F COMPANY)SAF BHOPAL
9711,7TH BATALION SAF BHOPAL,9721,7BN(HEAD CLERK)SAF BHOPAL
9711,7TH BATALION SAF BHOPAL,9726,7BN(HQ COMPANY)SAF BHOPAL
9711,7TH BATALION SAF BHOPAL,9744,7BN(Motor Transport)SAF BHOPAL
9711,7TH BATALION SAF BHOPAL,9737,7BN(Mounted Troop)SAF BHOPAL
9711,7TH BATALION SAF BHOPAL,9741,7BN(NGO MESS)SAF BHOPAL
9711,7TH BATALION SAF BHOPAL,9723,7BN(NPF Account)SAF BHOPAL
9711,7TH BATALION SAF BHOPAL,9735,7BN(OFFICER MESS)SAF BHOPAL
9711,7TH BATALION SAF BHOPAL,9716,7BN(O/o ADDITIONAL SUPERINTENDENT POLICE)SAF BHOPAL
9711,7TH BATALION SAF BHOPAL,9719,7BN(O/o ADJUTANT)SAF BHOPAL
9711,7TH BATALION SAF BHOPAL,9718,7BN(O/o ASSISTANT COMMANDANT)SAF BHOPAL
9711,7TH BATALION SAF BHOPAL,9714,7BN(O/o COMMANDANT)SAF BHOPAL
9711,7TH BATALION SAF BHOPAL,9715,7BN(O/o DEPUTY COMMANDANT)SAF BHOPAL
9711,7TH BATALION SAF BHOPAL,9717,7BN(O/o DEPUTY SUPERINTENDENT POLICE)SAF BHOPAL
9711,7TH BATALION SAF BHOPAL,9736,7BN(PETROL PUMP)SAF BHOPAL
